round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.943251,0.002550,0.872110,0.007829,0.006097,0.001390
2,0.947396,0.001772,0.882318,0.007143,0.006154,0.002494
3,0.952694,0.002128,0.893968,0.001789,0.005513,0.002407
4,0.881307,0.083144,0.891440,0.031842,0.125752,0.164739
5,0.956456,0.001283,0.903561,0.003303,0.005858,0.001276
6,0.883033,0.082510,0.893500,0.031856,0.124392,0.163868
7,0.958145,0.000804,0.905589,0.001996,0.004433,0.001462
8,0.888052,0.081494,0.903411,0.031675,0.122900,0.162198
9,0.958133,0.002956,0.905808,0.006455,0.004647,0.000851
10,0.886801,0.085879,0.906023,0.030111,0.126715,0.168018
11,0.958291,0.002710,0.906660,0.005692,0.004911,0.001329
12,0.887098,0.085659,0.905348,0.029583,0.125828,0.167251
13,0.958181,0.003262,0.905501,0.007015,0.004297,0.001116
14,0.887402,0.084304,0.906041,0.030143,0.125898,0.165604
15,0.958224,0.003138,0.905483,0.007145,0.004285,0.000564
16,0.889413,0.082606,0.908969,0.030062,0.124646,0.162546
17,0.958309,0.002867,0.905681,0.006644,0.004192,0.000977
18,0.889377,0.082618,0.909745,0.029751,0.125401,0.162712
19,0.958406,0.002905,0.906300,0.005827,0.004445,0.001288
20,0.888338,0.084065,0.909639,0.029288,0.126810,0.164769
