round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.940732,0.005745,0.896410,0.013014,0.000124,0.000085,0.035886,0.012898
2,0.783582,0.227357,0.940753,0.042848,0.277926,0.392676,0.030189,0.025386
3,0.838998,0.141859,0.935412,0.044925,0.186647,0.263878,0.022384,0.007330
4,0.779168,0.241650,0.946202,0.038024,0.289251,0.408918,0.026192,0.015166
5,0.832722,0.160203,0.935111,0.041887,0.189406,0.264800,0.043785,0.016669
6,0.589330,0.143072,0.995250,0.006663,0.565733,0.180222,0.025659,0.012459
7,0.776716,0.255267,0.945148,0.040300,0.257715,0.363870,0.041037,0.022228
8,0.663030,0.210676,0.977843,0.031158,0.466199,0.340027,0.041374,0.007006
9,0.837498,0.091979,0.954572,0.025842,0.191025,0.158138,0.055410,0.029476
10,0.721891,0.169897,0.969511,0.040284,0.354127,0.247527,0.045532,0.047921
11,0.953917,0.004574,0.916304,0.021481,0.000234,0.000243,0.036045,0.008002
12,0.615981,0.116275,0.997766,0.002334,0.535928,0.137711,0.034084,0.023174
13,0.955248,0.001019,0.923562,0.012712,0.004386,0.003308,0.071745,0.057379
14,0.783424,0.241783,0.940847,0.042093,0.244302,0.345266,0.022133,0.014588
15,0.770102,0.247599,0.932122,0.051591,0.279613,0.395380,0.037191,0.016574
16,0.798469,0.213103,0.934216,0.049661,0.218525,0.309021,0.036867,0.009920
17,0.954261,0.005336,0.918720,0.012254,0.000466,0.000464,0.039921,0.020414
18,0.660606,0.184650,0.976020,0.032190,0.443905,0.260815,0.027048,0.011953
19,0.844819,0.147741,0.944853,0.038800,0.175266,0.238113,0.048478,0.011657
20,0.844267,0.142398,0.964204,0.025240,0.203175,0.248582,0.075379,0.023424
