round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.858298,0.007383,0.676942,0.028997,0.012716,0.008203,0.360071,0.005824
2,0.920767,0.002135,0.829149,0.010325,0.014075,0.010815,0.300638,0.012025
3,0.920928,0.005780,0.835369,0.011858,0.018224,0.018322,0.275516,0.010955
4,0.926852,0.001522,0.833210,0.005690,0.006551,0.002059,0.262207,0.013755
5,0.930565,0.004877,0.844445,0.013837,0.008188,0.003198,0.251543,0.016658
6,0.931470,0.004569,0.855014,0.019772,0.014157,0.006586,0.242967,0.018466
7,0.932181,0.003661,0.858791,0.020875,0.015627,0.008589,0.236025,0.018491
8,0.932014,0.005562,0.863522,0.026926,0.019278,0.011615,0.229951,0.017892
9,0.934897,0.005577,0.864881,0.024120,0.015311,0.008060,0.223951,0.016625
10,0.936650,0.004362,0.868026,0.016610,0.014548,0.010265,0.218639,0.015468
11,0.937811,0.004832,0.868157,0.018048,0.012656,0.008508,0.213763,0.014440
12,0.937279,0.004880,0.872919,0.010397,0.016949,0.015123,0.210053,0.013881
13,0.937753,0.006705,0.880571,0.008890,0.021582,0.015137,0.206537,0.013393
14,0.939865,0.004109,0.881623,0.009748,0.018715,0.009884,0.203373,0.012869
15,0.939749,0.005234,0.879920,0.010173,0.017702,0.013171,0.200956,0.012730
16,0.940242,0.004945,0.881571,0.008967,0.018035,0.011414,0.199016,0.012568
17,0.939768,0.005348,0.879752,0.010391,0.017551,0.014290,0.196940,0.012138
18,0.941888,0.003222,0.882610,0.008498,0.015954,0.006439,0.195241,0.012012
19,0.941612,0.002807,0.883377,0.009943,0.016974,0.006817,0.193472,0.011703
20,0.941876,0.003380,0.884913,0.007690,0.017614,0.006145,0.191772,0.011326
