round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.942554,0.000842,0.868968,0.001468,0.005086,0.002200
2,0.443636,0.003483,0.992318,0.006056,0.947088,0.002174
3,0.725917,0.084125,0.345080,0.200146,0.003353,0.002604
4,0.596785,0.238739,0.941786,0.067909,0.648394,0.456740
5,0.780441,0.097721,0.499750,0.258468,0.019985,0.026213
6,0.596461,0.236575,0.939314,0.071255,0.647658,0.455717
7,0.759641,0.084504,0.443135,0.216265,0.015071,0.019617
8,0.596075,0.235714,0.939735,0.070446,0.648471,0.453379
9,0.765781,0.117027,0.462571,0.276928,0.018414,0.024583
10,0.594834,0.234117,0.940090,0.070235,0.651050,0.450822
11,0.781215,0.101370,0.497862,0.255213,0.016812,0.022318
12,0.595856,0.235554,0.940159,0.069774,0.648551,0.452057
13,0.750229,0.078171,0.437354,0.213789,0.027248,0.037102
14,0.596530,0.235218,0.939954,0.070175,0.647713,0.452462
15,0.773217,0.093963,0.491454,0.259608,0.026644,0.036403
16,0.597540,0.236334,0.939911,0.070023,0.646579,0.454462
17,0.767546,0.096464,0.464749,0.239433,0.017454,0.022987
18,0.596474,0.235020,0.938899,0.071061,0.647078,0.452778
19,0.789719,0.108201,0.532788,0.279450,0.027540,0.037251
20,0.596793,0.234703,0.939518,0.071022,0.647397,0.452406
