round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.930708,0.042012,0.880470,0.025384,0.011368,0.011337
2,0.920905,0.044679,0.887114,0.042589,0.004223,0.002217
3,0.930186,0.054340,0.891483,0.034691,0.002602,0.002279
4,0.953570,0.012387,0.913798,0.020598,0.004141,0.001770
5,0.959964,0.018931,0.916577,0.020822,0.001820,0.001011
6,0.932695,0.042759,0.909140,0.029964,0.002647,0.001585
7,0.953816,0.005810,0.915297,0.015896,0.003230,0.001294
8,0.921622,0.029073,0.904058,0.030738,0.004840,0.002556
9,0.968861,0.015712,0.927785,0.005672,0.001434,0.000938
10,0.940496,0.033108,0.905050,0.014333,0.003644,0.001525
11,0.951838,0.014435,0.923967,0.011774,0.003202,0.001658
12,0.977180,0.013514,0.928489,0.021362,0.000955,0.000207
13,0.963968,0.016409,0.931168,0.022548,0.004594,0.003146
14,0.970450,0.011942,0.930250,0.004531,0.002779,0.002678
15,0.954361,0.020806,0.918410,0.003984,0.002608,0.001060
16,0.958848,0.013701,0.929531,0.017237,0.007056,0.008412
17,0.982624,0.005939,0.936096,0.012749,0.002072,0.000883
18,0.975972,0.007533,0.926371,0.016849,0.003563,0.003177
19,0.944105,0.021167,0.909534,0.007832,0.003504,0.002054
20,0.972816,0.008618,0.944092,0.011561,0.001581,0.000250
