round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.825340,0.184165,0.605535,0.357614,0.020535,0.027810
2,0.945851,0.017581,0.911967,0.025422,0.050508,0.044910
3,0.960401,0.009640,0.856315,0.031930,0.003486,0.001082
4,0.939531,0.020478,0.866317,0.029850,0.010052,0.004838
5,0.952639,0.022780,0.885857,0.013531,0.009022,0.003048
6,0.967331,0.011174,0.896858,0.007765,0.015397,0.015295
7,0.981026,0.009583,0.910527,0.018931,0.010390,0.010468
8,0.958220,0.022333,0.895193,0.011002,0.014758,0.015489
9,0.961511,0.027585,0.892465,0.009232,0.005921,0.001939
10,0.960969,0.022384,0.914548,0.021814,0.013304,0.007349
11,0.968721,0.014420,0.919000,0.022356,0.013105,0.006203
12,0.975914,0.010973,0.909466,0.019820,0.004561,0.003573
13,0.964334,0.010782,0.906638,0.008085,0.003860,0.001703
14,0.926765,0.042537,0.891027,0.016068,0.007419,0.003563
15,0.958923,0.025485,0.922197,0.016985,0.009263,0.006981
16,0.950784,0.018765,0.912223,0.014821,0.017549,0.013627
17,0.976075,0.012148,0.925289,0.023353,0.013943,0.006424
18,0.966095,0.031827,0.916775,0.025002,0.016790,0.007524
19,0.968153,0.013172,0.910194,0.005585,0.005279,0.002076
20,0.945180,0.021376,0.904239,0.006056,0.005695,0.002322
