round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.961382,0.012039,0.900913,0.012363,0.003146,0.002168
2,0.883082,0.115313,0.937848,0.024052,0.125515,0.170009
3,0.908703,0.057565,0.859983,0.047967,0.000818,0.000495
4,0.816011,0.084253,0.923605,0.013449,0.227541,0.159464
5,0.923898,0.037061,0.870338,0.040812,0.001457,0.001250
6,0.737534,0.059428,0.945993,0.007839,0.365545,0.122353
7,0.950702,0.027610,0.888710,0.051848,0.003587,0.003789
8,0.782877,0.030990,0.925039,0.051947,0.247173,0.043533
9,0.874444,0.020399,0.849384,0.025348,0.001600,0.001277
10,0.760971,0.008562,0.957917,0.013299,0.304096,0.021146
11,0.908518,0.053122,0.847828,0.049698,0.002147,0.001959
12,0.765958,0.013413,0.947368,0.029370,0.289364,0.025597
13,0.894022,0.047554,0.729209,0.236881,0.000882,0.000389
14,0.845444,0.064572,0.922905,0.024947,0.174135,0.106205
15,0.927506,0.038849,0.877548,0.064362,0.001860,0.001500
16,0.893372,0.055721,0.932522,0.021325,0.110555,0.094085
17,0.934704,0.017142,0.902186,0.021422,0.001609,0.000575
18,0.816489,0.091602,0.937688,0.037324,0.218344,0.124333
19,0.952124,0.022530,0.891067,0.059445,0.000591,0.000372
20,0.918488,0.041482,0.945309,0.019336,0.162905,0.105816
