round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.942500,0.001616,0.870906,0.002321,0.006892,0.002424
2,0.540402,0.020850,0.990921,0.006681,0.779062,0.031062
3,0.894124,0.032929,0.749009,0.079428,0.002675,0.000343
4,0.525217,0.005827,0.990121,0.006349,0.805499,0.008809
5,0.931240,0.004658,0.838183,0.010041,0.002803,0.000999
6,0.520896,0.003870,0.989458,0.007568,0.812178,0.005709
7,0.936629,0.005050,0.851349,0.011956,0.002531,0.000868
8,0.525314,0.007898,0.989420,0.005618,0.804807,0.016039
9,0.932934,0.002051,0.842540,0.006058,0.002748,0.000737
10,0.528437,0.003552,0.988611,0.007614,0.798683,0.009962
11,0.936217,0.003980,0.850127,0.010353,0.002437,0.000597
12,0.520119,0.005270,0.989886,0.006613,0.815114,0.004893
13,0.937662,0.000921,0.854262,0.002094,0.002762,0.000836
14,0.520277,0.007089,0.988945,0.007768,0.812167,0.014650
15,0.936344,0.002655,0.850231,0.005905,0.002454,0.000674
16,0.525180,0.002317,0.989177,0.006685,0.804672,0.004876
17,0.928578,0.009064,0.831013,0.021072,0.002061,0.000840
18,0.514042,0.011337,0.989798,0.006748,0.824508,0.022051
19,0.931330,0.003521,0.838093,0.008317,0.002576,0.000666
20,0.506775,0.015597,0.990016,0.006069,0.836383,0.025493
