round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.949290,0.002715,0.891000,0.005922,0.009304,0.000286
2,0.953240,0.001814,0.900275,0.004672,0.009031,0.000446
3,0.955245,0.001975,0.905095,0.004411,0.009061,0.000094
4,0.957748,0.001625,0.909476,0.005569,0.008039,0.001328
5,0.958040,0.000692,0.909312,0.000937,0.007377,0.001290
6,0.958952,0.000929,0.910856,0.000899,0.006845,0.002068
7,0.959176,0.000904,0.910672,0.001665,0.006486,0.001770
8,0.959541,0.000931,0.911289,0.002862,0.006263,0.002088
9,0.960027,0.001242,0.912091,0.002237,0.005969,0.002039
10,0.960021,0.001123,0.911540,0.000912,0.005687,0.001637
11,0.960313,0.000920,0.911792,0.001057,0.005297,0.001529
12,0.960696,0.000431,0.912953,0.001060,0.005374,0.001248
13,0.960598,0.000935,0.913743,0.001949,0.006054,0.000926
14,0.961401,0.000598,0.913304,0.000154,0.004469,0.000836
15,0.961109,0.001146,0.914671,0.002203,0.005866,0.000533
16,0.961103,0.000616,0.914232,0.000396,0.005583,0.000991
17,0.961717,0.000400,0.915317,0.000890,0.005216,0.000236
18,0.961990,0.000987,0.915166,0.001203,0.004662,0.001127
19,0.961935,0.001183,0.914889,0.001386,0.004575,0.001341
20,0.961954,0.001062,0.914203,0.001153,0.004156,0.001210
