round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.710530,0.208572,0.790920,0.149542,0.267287,0.340695,0.105828,0.023943
2,0.700065,0.205770,0.898922,0.081116,0.327450,0.323521,0.089744,0.020492
3,0.793739,0.167159,0.881789,0.071215,0.196506,0.271467,0.079514,0.017686
4,0.799801,0.163546,0.905632,0.054826,0.202028,0.257195,0.074565,0.016538
5,0.771599,0.206512,0.893870,0.070710,0.231777,0.318276,0.071086,0.015781
6,0.792497,0.176936,0.888198,0.072499,0.202326,0.283184,0.068573,0.014981
7,0.923540,0.004631,0.877336,0.017595,0.018512,0.012190,0.066145,0.014125
8,0.920065,0.006536,0.865676,0.036313,0.016155,0.019268,0.063947,0.013594
9,0.923987,0.005883,0.861234,0.022799,0.010426,0.011091,0.062351,0.013109
10,0.856347,0.095321,0.891220,0.061959,0.126163,0.176112,0.061187,0.012992
11,0.856220,0.101864,0.899753,0.057191,0.131756,0.181380,0.060146,0.012738
12,0.855175,0.099563,0.903800,0.059266,0.133986,0.177905,0.059107,0.012547
13,0.914541,0.024682,0.896270,0.027058,0.040108,0.044136,0.058071,0.012399
14,0.925959,0.013426,0.901689,0.014393,0.029771,0.023623,0.057417,0.012487
15,0.917494,0.022336,0.897987,0.023865,0.037548,0.039343,0.056819,0.012601
16,0.852993,0.110705,0.920795,0.044693,0.147464,0.185486,0.056317,0.012577
17,0.840126,0.125696,0.908549,0.059862,0.155725,0.210766,0.055815,0.012621
18,0.847074,0.107119,0.916684,0.050184,0.151248,0.184516,0.055304,0.012609
19,0.854755,0.114127,0.922739,0.043969,0.147106,0.188797,0.054781,0.012490
20,0.841220,0.127108,0.923491,0.047452,0.164072,0.207508,0.054437,0.012463
