round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.971376,0.018884,0.859244,0.045405,0.002651,0.002569
2,0.977723,0.003369,0.905522,0.073576,0.000966,0.000089
3,0.967000,0.019804,0.913176,0.020687,0.002160,0.000529
4,0.984717,0.006844,0.938829,0.033339,0.003263,0.002765
5,0.973684,0.015135,0.920369,0.011341,0.001785,0.000225
6,0.986336,0.005041,0.943082,0.033584,0.001624,0.000793
7,0.982219,0.010594,0.941414,0.009466,0.001613,0.001622
8,0.967456,0.018646,0.941486,0.017726,0.002390,0.002343
9,0.975333,0.014451,0.912365,0.016680,0.002972,0.002692
10,0.972520,0.030003,0.949766,0.014604,0.013386,0.018439
11,0.982213,0.008583,0.944003,0.025779,0.000735,0.000238
12,0.972632,0.007233,0.934218,0.012272,0.003713,0.003658
13,0.978887,0.005843,0.925306,0.020908,0.001160,0.000547
14,0.987281,0.007924,0.927243,0.030235,0.001968,0.001493
15,0.982896,0.014689,0.950289,0.009085,0.001895,0.002255
16,0.969895,0.011989,0.939395,0.017902,0.000914,0.000719
17,0.985093,0.002868,0.920113,0.010854,0.001175,0.001109
18,0.977786,0.011284,0.940593,0.017588,0.000482,0.000417
19,0.983761,0.011666,0.949391,0.012926,0.002103,0.002524
20,0.990618,0.004770,0.945278,0.020484,0.000848,0.000317
