round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.949405,0.002474,0.892157,0.006354,0.009881,0.000547
2,0.952492,0.001658,0.897601,0.002991,0.008524,0.001205
3,0.955670,0.002072,0.905466,0.003012,0.008500,0.001375
4,0.957524,0.001251,0.910991,0.003718,0.009333,0.000543
5,0.957888,0.001321,0.910657,0.001933,0.008659,0.000818
6,0.958769,0.001143,0.912804,0.000524,0.008541,0.001540
7,0.959511,0.001280,0.913344,0.002061,0.007720,0.000852
8,0.959979,0.000884,0.914025,0.002510,0.007295,0.000986
9,0.960124,0.000603,0.914232,0.000453,0.007306,0.001212
10,0.960586,0.000807,0.915110,0.002074,0.007006,0.000091
11,0.959942,0.000812,0.912751,0.001947,0.006568,0.000287
12,0.961200,0.000992,0.915553,0.002132,0.006333,0.000278
13,0.960428,0.000420,0.913126,0.001915,0.005977,0.001183
14,0.961887,0.000683,0.915174,0.002184,0.004820,0.000434
15,0.961151,0.000545,0.914351,0.000506,0.005497,0.000957
16,0.961291,0.001095,0.914855,0.002683,0.005639,0.000128
17,0.961729,0.000658,0.916405,0.001575,0.005996,0.000442
18,0.961631,0.000394,0.915622,0.000343,0.005580,0.000525
19,0.961759,0.000648,0.914477,0.002478,0.004518,0.000646
20,0.961917,0.000785,0.914084,0.002716,0.004137,0.000479
