round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.969011,0.015709,0.932173,0.043935,0.197342,0.273192
2,0.941402,0.010919,0.917999,0.020682,0.168602,0.230080
3,0.955923,0.016141,0.901864,0.028154,0.007495,0.000748
4,0.964365,0.009163,0.902024,0.052781,0.197270,0.274520
5,0.970810,0.022472,0.940016,0.022133,0.005893,0.003787
6,0.969031,0.021866,0.930702,0.021901,0.072391,0.090813
7,0.977426,0.018166,0.908920,0.032375,0.002153,0.001014
8,0.952765,0.024961,0.919969,0.042311,0.012799,0.014102
9,0.984140,0.006118,0.934767,0.025051,0.003017,0.000971
10,0.969295,0.015885,0.931915,0.020151,0.005597,0.002268
11,0.972049,0.019415,0.935762,0.022615,0.071321,0.091593
12,0.968197,0.017029,0.925767,0.015775,0.006229,0.003789
13,0.979010,0.015927,0.909748,0.034448,0.068265,0.093796
14,0.947906,0.017634,0.921257,0.029373,0.018590,0.018340
15,0.987033,0.008879,0.941230,0.025618,0.069156,0.093171
16,0.961326,0.011930,0.910423,0.030387,0.169034,0.235909
17,0.966791,0.006906,0.917768,0.043474,0.198416,0.276290
18,0.975356,0.009330,0.927316,0.040185,0.004823,0.006068
19,0.964316,0.010470,0.911308,0.031826,0.171382,0.240382
20,0.972173,0.013587,0.902874,0.029659,0.003126,0.001500
