round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.877567,0.073496,0.824401,0.031951,0.024049,0.031053
2,0.938979,0.048082,0.878302,0.011699,0.011182,0.009678
3,0.959801,0.027262,0.839891,0.081616,0.004618,0.002827
4,0.974252,0.009519,0.881781,0.031095,0.002923,0.001448
5,0.967112,0.022622,0.874574,0.004264,0.002878,0.001749
6,0.933440,0.013799,0.900366,0.037627,0.014268,0.010741
7,0.927622,0.002173,0.900809,0.018709,0.024401,0.022525
8,0.948977,0.012004,0.908894,0.023083,0.007351,0.003166
9,0.978402,0.008386,0.919249,0.021589,0.006809,0.005054
10,0.957162,0.016610,0.908246,0.019302,0.049764,0.062540
11,0.938178,0.013696,0.907409,0.012362,0.013840,0.002496
12,0.933235,0.011407,0.899916,0.004530,0.014695,0.011835
13,0.962874,0.016629,0.922799,0.015199,0.007546,0.004931
14,0.965323,0.018620,0.922511,0.023256,0.002715,0.001591
15,0.966216,0.013790,0.907668,0.003708,0.005951,0.004155
16,0.949044,0.007466,0.911073,0.020568,0.003855,0.002097
17,0.916139,0.037968,0.886715,0.017998,0.025037,0.015380
18,0.960555,0.009047,0.912076,0.015343,0.002732,0.002070
19,0.969758,0.010380,0.935030,0.034243,0.030670,0.034037
20,0.978274,0.016149,0.924461,0.021690,0.008502,0.009198
