round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.945893,0.005521,0.885203,0.010971,0.000129,0.000050,0.041689,0.005069
2,0.952313,0.001722,0.901961,0.011020,0.001434,0.001861,0.038990,0.006990
3,0.952398,0.003023,0.904973,0.011658,0.003161,0.004300,0.038229,0.006775
4,0.953207,0.003603,0.906620,0.011320,0.003308,0.004480,0.038014,0.006442
5,0.952386,0.005174,0.909998,0.011962,0.007373,0.008347,0.037628,0.006405
6,0.955212,0.001663,0.906914,0.010697,0.001114,0.001356,0.037475,0.006218
7,0.954723,0.002913,0.907995,0.011304,0.002587,0.003466,0.037967,0.006085
8,0.953757,0.004285,0.908646,0.011662,0.004233,0.005699,0.038048,0.005322
9,0.955771,0.001098,0.907171,0.010921,0.000821,0.000806,0.037844,0.005905
10,0.955206,0.002327,0.908055,0.011336,0.002151,0.002905,0.037753,0.005836
11,0.954407,0.002716,0.916773,0.002235,0.003485,0.003364,0.041609,0.002016
12,0.954051,0.002607,0.916857,0.003166,0.004104,0.004027,0.041575,0.002133
13,0.953946,0.002402,0.915999,0.002494,0.003441,0.003365,0.041662,0.002756
14,0.954179,0.001741,0.915977,0.002841,0.003060,0.002887,0.042368,0.002672
15,0.956148,0.000629,0.917528,0.003040,0.002001,0.001816,0.041863,0.002232
16,0.955984,0.001039,0.916048,0.001398,0.001052,0.000879,0.042255,0.001862
17,0.955555,0.000565,0.916058,0.002618,0.001673,0.001541,0.042163,0.002015
18,0.957127,0.000369,0.917715,0.002448,0.001113,0.000907,0.042150,0.002514
19,0.956471,0.000460,0.917851,0.003211,0.001996,0.001833,0.041738,0.002482
20,0.956863,0.000579,0.917699,0.002351,0.001101,0.000807,0.041927,0.002633
