round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.914599,0.053922,0.857399,0.032826,0.000900,0.000864
2,0.987588,0.007765,0.898961,0.061030,0.001620,0.000962
3,0.962893,0.012996,0.918452,0.013665,0.003914,0.001683
4,0.985146,0.007897,0.919991,0.018415,0.002726,0.002835
5,0.987096,0.009905,0.919294,0.052295,0.004295,0.002932
6,0.968916,0.014119,0.919545,0.018725,0.005941,0.003802
7,0.984628,0.002709,0.931513,0.048379,0.003921,0.003292
8,0.970796,0.017039,0.905057,0.029253,0.004674,0.001746
9,0.965854,0.010376,0.936559,0.010932,0.001928,0.000340
10,0.977273,0.010771,0.923269,0.039171,0.003360,0.002111
11,0.981409,0.008038,0.915213,0.036044,0.003347,0.002502
12,0.988612,0.004858,0.922997,0.019473,0.001748,0.000511
13,0.968744,0.005571,0.943675,0.008037,0.003135,0.001687
14,0.981172,0.000273,0.925180,0.046642,0.005228,0.002712
15,0.986424,0.002122,0.945649,0.037202,0.002467,0.002268
16,0.989198,0.005975,0.929011,0.021892,0.003423,0.002121
17,0.974918,0.007752,0.938419,0.018216,0.002199,0.001171
18,0.975355,0.013087,0.904312,0.017335,0.003796,0.001822
19,0.985013,0.009996,0.938657,0.007088,0.001812,0.001915
20,0.975479,0.012516,0.949618,0.020384,0.005526,0.004928
