round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.944175,0.002551,0.875458,0.007143,0.006897,0.001095
2,0.947183,0.001547,0.880841,0.007483,0.005676,0.002693
3,0.952700,0.001666,0.893105,0.001550,0.005037,0.001895
4,0.886503,0.084307,0.898823,0.024495,0.122360,0.160966
5,0.957774,0.000754,0.907007,0.002742,0.006192,0.001802
6,0.888842,0.086364,0.906243,0.025682,0.123735,0.164353
7,0.959561,0.000280,0.909856,0.003108,0.005146,0.001734
8,0.890811,0.086245,0.910847,0.023511,0.123493,0.163275
9,0.960375,0.000816,0.909280,0.002631,0.003275,0.000758
10,0.889766,0.086828,0.911726,0.024603,0.125841,0.165024
11,0.960296,0.000959,0.910011,0.002800,0.003981,0.001049
12,0.890799,0.087047,0.914078,0.024065,0.125691,0.165085
13,0.960679,0.000464,0.910684,0.002538,0.003826,0.001185
14,0.889991,0.086598,0.912957,0.025963,0.126290,0.166139
15,0.960904,0.000569,0.911312,0.003000,0.003956,0.001111
16,0.891334,0.084851,0.913753,0.026027,0.124416,0.163170
17,0.961305,0.000477,0.912046,0.002506,0.003669,0.001313
18,0.891334,0.085219,0.914996,0.026484,0.125530,0.164389
19,0.960642,0.000692,0.911495,0.003614,0.004429,0.001315
20,0.891735,0.084763,0.914972,0.026913,0.124898,0.163663
