round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.776904,0.193774,0.866085,0.004425,0.299363,0.423212,0.032863,0.028858
2,0.918834,0.047378,0.835185,0.041269,0.004470,0.006255,0.031161,0.026917
3,0.929799,0.041338,0.843137,0.044047,0.000404,0.000351,0.032240,0.025223
4,0.938635,0.030167,0.853041,0.049374,0.000453,0.000531,0.031169,0.025886
5,0.939498,0.026688,0.855806,0.053904,0.002516,0.002383,0.030447,0.026620
6,0.946653,0.017531,0.864250,0.058305,0.002844,0.003254,0.030121,0.026578
7,0.943803,0.018735,0.864059,0.054472,0.004955,0.004012,0.029592,0.026866
8,0.945158,0.017425,0.865121,0.056987,0.004875,0.004754,0.029664,0.026784
9,0.948251,0.014637,0.867094,0.059791,0.003909,0.005310,0.029665,0.026980
10,0.949342,0.013160,0.868700,0.059954,0.004155,0.004076,0.029544,0.026962
11,0.949050,0.014174,0.869098,0.061867,0.005031,0.003722,0.029295,0.027050
12,0.944894,0.017706,0.865413,0.058831,0.005842,0.006317,0.029651,0.026990
13,0.947330,0.013482,0.870363,0.065559,0.008921,0.006315,0.029575,0.027006
14,0.945915,0.017104,0.872858,0.064243,0.012083,0.008759,0.029402,0.026865
15,0.857912,0.142284,0.890544,0.086418,0.173237,0.236471,0.029739,0.027062
