round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.856876,0.009866,0.674427,0.035707,0.013361,0.008718,0.361104,0.004630
2,0.922495,0.001369,0.829989,0.006422,0.011714,0.006908,0.301441,0.011432
3,0.924045,0.001887,0.834353,0.008073,0.012167,0.007992,0.275724,0.010845
4,0.927554,0.001658,0.835719,0.005179,0.007132,0.003135,0.262053,0.013780
5,0.930115,0.005224,0.846119,0.014108,0.010148,0.005870,0.251333,0.016687
6,0.931653,0.005164,0.854225,0.018132,0.013284,0.006255,0.242858,0.018255
7,0.931962,0.004376,0.860728,0.022002,0.017380,0.008885,0.236000,0.018485
8,0.933801,0.003132,0.867980,0.018966,0.019392,0.008180,0.229811,0.017621
9,0.932066,0.005871,0.868654,0.024070,0.022840,0.015626,0.223962,0.016479
10,0.937310,0.004326,0.872705,0.010547,0.016747,0.010527,0.218541,0.015288
11,0.940008,0.003287,0.873040,0.009361,0.012369,0.005529,0.213803,0.014389
12,0.936890,0.006909,0.874862,0.010507,0.018997,0.017702,0.209792,0.013825
13,0.935201,0.009971,0.877656,0.009823,0.023874,0.022903,0.206358,0.013359
14,0.933160,0.013319,0.878225,0.011847,0.027774,0.030340,0.203379,0.012990
15,0.935210,0.010829,0.878942,0.010679,0.024774,0.024802,0.200720,0.012461
16,0.939628,0.004941,0.879404,0.008559,0.017541,0.013082,0.198504,0.012276
17,0.933889,0.013497,0.882257,0.011752,0.029396,0.029103,0.196867,0.012245
18,0.940813,0.004264,0.881769,0.009372,0.017198,0.010184,0.194861,0.011840
19,0.939786,0.005762,0.882084,0.009883,0.019179,0.013165,0.193517,0.011767
20,0.938917,0.007410,0.884379,0.010320,0.022298,0.016547,0.191872,0.011494
