round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.920627,0.038114,0.902551,0.044702,0.014576,0.007528
2,0.947127,0.030271,0.890125,0.025263,0.007977,0.002547
3,0.984673,0.003487,0.913701,0.017036,0.003724,0.002505
4,0.913011,0.050986,0.927166,0.011265,0.192514,0.126683
5,0.911086,0.039485,0.862710,0.048065,0.006841,0.001614
6,0.860363,0.091413,0.880460,0.071737,0.165044,0.116917
7,0.953395,0.020719,0.892024,0.022492,0.003624,0.001226
8,0.877817,0.087892,0.836747,0.064623,0.100400,0.128022
9,0.944799,0.061357,0.896227,0.050943,0.007324,0.006539
10,0.877495,0.093521,0.864901,0.034815,0.094359,0.129155
11,0.950206,0.053514,0.900336,0.047467,0.005058,0.006408
12,0.897506,0.044001,0.887129,0.011090,0.096296,0.134059
13,0.953514,0.017548,0.915163,0.018422,0.005067,0.003580
14,0.905746,0.107386,0.913335,0.023097,0.093885,0.131814
15,0.948733,0.029471,0.922215,0.040030,0.004426,0.004024
16,0.893510,0.100351,0.893196,0.042951,0.092061,0.129626
17,0.939936,0.010048,0.879499,0.029513,0.006257,0.001350
18,0.890271,0.052374,0.941505,0.034735,0.193817,0.097362
19,0.953656,0.028007,0.915791,0.015328,0.027185,0.018580
20,0.856919,0.061695,0.904960,0.020524,0.175712,0.088178
