round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.957189,0.000309,0.907419,0.001747,0.007414,0.000960
2,0.957931,0.000460,0.909824,0.000942,0.007856,0.001277
3,0.958450,0.000203,0.909911,0.000559,0.007029,0.000691
4,0.958672,0.000404,0.910538,0.000802,0.007098,0.001129
5,0.958997,0.000486,0.910701,0.000436,0.006655,0.000916
6,0.959268,0.000485,0.911483,0.000759,0.006749,0.000999
7,0.959681,0.000298,0.912623,0.000986,0.006853,0.001013
8,0.959845,0.000413,0.912937,0.000679,0.006795,0.000953
9,0.960137,0.000377,0.912967,0.000761,0.006317,0.000841
10,0.960285,0.000474,0.913413,0.000647,0.006379,0.000573
11,0.960383,0.000466,0.913412,0.001240,0.006213,0.000620
12,0.960650,0.000507,0.914633,0.000612,0.006624,0.000638
13,0.960738,0.000501,0.914793,0.000593,0.006588,0.000562
14,0.960753,0.000684,0.914357,0.001706,0.006249,0.000600
15,0.960875,0.000715,0.914189,0.001369,0.005921,0.000637
16,0.961142,0.000586,0.915254,0.000607,0.006223,0.000569
17,0.961109,0.000648,0.914635,0.001331,0.005838,0.000334
18,0.961157,0.000533,0.915268,0.001333,0.006208,0.000353
19,0.961233,0.000577,0.915466,0.001309,0.006218,0.000506
20,0.961355,0.000660,0.915379,0.001469,0.005947,0.000721
