round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.929311,0.036470,0.882165,0.026109,0.016498,0.014193
2,0.959637,0.026257,0.903735,0.023990,0.008508,0.007865
3,0.958408,0.012439,0.904505,0.025693,0.023390,0.024385
4,0.841808,0.081303,0.879588,0.011062,0.128341,0.129534
5,0.946224,0.033205,0.908261,0.014995,0.017415,0.019827
6,0.895277,0.064562,0.900675,0.027314,0.097201,0.130003
7,0.938023,0.008074,0.912871,0.004903,0.014745,0.011294
8,0.962967,0.017727,0.906014,0.041280,0.000843,0.000972
9,0.934544,0.030756,0.907185,0.008596,0.005479,0.003206
10,0.958909,0.012869,0.906903,0.039611,0.001798,0.001317
11,0.950417,0.004801,0.912603,0.010513,0.006884,0.004331
12,0.964239,0.016097,0.931534,0.008301,0.005612,0.004016
13,0.947046,0.014814,0.918246,0.013647,0.002846,0.001127
14,0.968278,0.008652,0.907277,0.013489,0.003419,0.002474
15,0.969952,0.013488,0.916637,0.007237,0.004395,0.002001
16,0.941009,0.023763,0.887624,0.033628,0.004959,0.001910
17,0.940888,0.044072,0.897460,0.015651,0.006796,0.002609
18,0.976111,0.009792,0.912249,0.028390,0.005119,0.006336
19,0.961063,0.017286,0.919029,0.015709,0.003615,0.004471
20,0.961403,0.001471,0.914892,0.033842,0.028127,0.025266
