config,num_seeds,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
FedAvg/DNN/non-iid/8/frac_1.0,3,0.780168,0.243981,0.931193,0.048623,0.327256,0.452111
FedProx/CNN/iid/12/frac_1.0/mu_1.0,3,0.945484,0.002138,0.885070,0.005283,0.011543,0.001435
FedProx/CNN/iid/16/frac_1.0/mu_1.0,3,0.941257,0.003667,0.884345,0.007361,0.018261,0.006811
FedProx/CNN/iid/2/frac_1.0/mu_1.0,3,0.954318,0.001798,0.900602,0.006560,0.007475,0.004453
FedProx/CNN/iid/20/frac_1.0/mu_1.0,3,0.940555,0.003276,0.876684,0.004413,0.014014,0.008053
FedProx/CNN/iid/4/frac_1.0/mu_1.0,3,0.951700,0.001724,0.893374,0.008248,0.006814,0.003062
FedProx/CNN/iid/8/frac_1.0/mu_1.0,3,0.948627,0.001512,0.887836,0.005388,0.008132,0.001434
FedProx/CNN/non-iid/12/frac_0.4/mu_1.0,3,0.797773,0.192168,0.912971,0.065218,0.284166,0.372789
FedProx/CNN/non-iid/12/frac_1.0/mu_1.0,3,0.912211,0.038942,0.878018,0.037204,0.063468,0.086150
FedProx/CNN/non-iid/16/frac_0.4/mu_1.0,3,0.423228,0.010636,0.998041,0.002771,0.985637,0.020172
FedProx/CNN/non-iid/16/frac_1.0/mu_1.0,3,0.825381,0.101739,0.904848,0.027881,0.231143,0.193482
FedProx/CNN/non-iid/2/frac_0.4/mu_1.0,3,0.771889,0.205349,0.945228,0.038454,0.351407,0.378539
FedProx/CNN/non-iid/2/frac_1.0/mu_1.0,3,0.773151,0.207657,0.942702,0.040581,0.347451,0.384229
FedProx/CNN/non-iid/20/frac_0.4/mu_1.0,3,0.733856,0.225524,0.907602,0.075764,0.389730,0.435650
FedProx/CNN/non-iid/20/frac_1.0/mu_1.0,3,0.917668,0.008471,0.868696,0.027639,0.047499,0.029661
FedProx/CNN/non-iid/4/frac_0.4/mu_1.0,3,0.667906,0.199950,0.967632,0.045169,0.545288,0.373538
FedProx/CNN/non-iid/4/frac_1.0/mu_1.0,3,0.940803,0.007949,0.882327,0.007413,0.017604,0.016124
FedProx/CNN/non-iid/8/frac_0.4/mu_1.0,3,0.932108,0.009087,0.841140,0.021730,0.003186,0.002096
FedProx/CNN/non-iid/8/frac_1.0/mu_1.0,3,0.895247,0.016408,0.870006,0.050316,0.086799,0.062582
FedProx/DNN/iid/12/frac_1.0/mu_1.0,3,0.961267,0.000254,0.910772,0.001552,0.002816,0.001053
FedProx/DNN/iid/16/frac_1.0/mu_1.0,3,0.961184,0.000236,0.909129,0.000615,0.001789,0.000520
FedProx/DNN/iid/2/frac_1.0/mu_1.0,3,0.961894,0.000194,0.911959,0.001834,0.002587,0.001161
FedProx/DNN/iid/20/frac_1.0/mu_1.0,3,0.960883,0.000585,0.908105,0.002908,0.001577,0.001118
FedProx/DNN/iid/4/frac_1.0/mu_1.0,3,0.961619,0.000239,0.910439,0.001264,0.001976,0.000541
FedProx/DNN/iid/8/frac_1.0/mu_1.0,3,0.961707,0.000174,0.911111,0.001357,0.002304,0.000876
FedProx/DNN/non-iid/12/frac_0.4/mu_1.0,3,0.955205,0.001852,0.892345,0.004452,0.000083,0.000036
FedProx/DNN/non-iid/12/frac_1.0/mu_1.0,3,0.956085,0.001765,0.894749,0.004315,0.000287,0.000147
FedProx/DNN/non-iid/16/frac_0.4/mu_1.0,3,0.735810,0.218656,0.947333,0.037242,0.414646,0.400332
FedProx/DNN/non-iid/16/frac_1.0/mu_1.0,3,0.950470,0.004114,0.882368,0.011560,0.001090,0.001391
FedProx/DNN/non-iid/2/frac_0.4/mu_1.0,3,0.772344,0.252209,0.934058,0.046780,0.342684,0.464766
FedProx/DNN/non-iid/2/frac_1.0/mu_1.0,3,0.950450,0.005255,0.908316,0.007800,0.019579,0.004694
FedProx/DNN/non-iid/20/frac_0.4/mu_1.0,3,0.954349,0.002468,0.891386,0.007431,0.000865,0.001067
FedProx/DNN/non-iid/20/frac_1.0/mu_1.0,3,0.954765,0.002367,0.891421,0.005788,0.000179,0.000097
FedProx/DNN/non-iid/4/frac_0.4/mu_1.0,3,0.843313,0.144480,0.942251,0.035487,0.227063,0.272222
FedProx/DNN/non-iid/4/frac_1.0/mu_1.0,3,0.847408,0.156131,0.927433,0.032934,0.209513,0.289525
FedProx/DNN/non-iid/8/frac_0.4/mu_1.0,3,0.951979,0.002954,0.898234,0.012110,0.009792,0.012167
FedProx/DNN/non-iid/8/frac_1.0/mu_1.0,3,0.859817,0.136600,0.928801,0.044869,0.189251,0.265676
FedProx/DNN/non-iid/8/mu_0.001,3,0.947490,0.016105,0.895275,0.020621,0.015370,0.014564
FedProx/DNN/non-iid/8/mu_0.01,3,0.945628,0.018650,0.875251,0.049602,0.004314,0.005653
FedProx/DNN/non-iid/8/mu_0.05,3,0.949079,0.014600,0.896000,0.017800,0.013165,0.013552
FedProx/DNN/non-iid/8/mu_0.1,3,0.949590,0.010351,0.896971,0.021553,0.012982,0.007834
FedProx/DNN/non-iid/8/mu_0.5,3,0.857301,0.141906,0.937503,0.040320,0.199746,0.270929
FedProx/DNN/non-iid/8/mu_1.0,3,0.946753,0.017390,0.890637,0.026389,0.013332,0.012316
FedRF/RandomForest/iid/12/frac_1.0,3,0.957786,0.000246,0.909380,0.001541,0.007783,0.000692
FedRF/RandomForest/iid/16/frac_1.0,3,0.957050,0.000197,0.908596,0.001620,0.008486,0.000816
FedRF/RandomForest/iid/2/frac_1.0,3,0.961858,0.000215,0.916924,0.000841,0.006181,0.000607
FedRF/RandomForest/iid/20/frac_1.0,3,0.956464,0.000120,0.905953,0.000628,0.007608,0.000579
FedRF/RandomForest/iid/4/frac_1.0,3,0.960358,0.000220,0.914667,0.000823,0.007142,0.000347
FedRF/RandomForest/iid/8/frac_1.0,3,0.958839,0.000175,0.911205,0.000424,0.007279,0.000062
