round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.942087,0.002071,0.870399,0.003691,0.006748,0.001143
2,0.604093,0.034302,0.984453,0.004497,0.666173,0.055591
3,0.917745,0.024713,0.806274,0.057765,0.002820,0.000945
4,0.581198,0.028536,0.977100,0.006001,0.700760,0.044981
5,0.943181,0.002334,0.866754,0.006125,0.002383,0.000295
6,0.587839,0.030924,0.984027,0.004857,0.693854,0.049469
7,0.941595,0.002757,0.866277,0.007985,0.004816,0.001899
8,0.589522,0.032512,0.981180,0.003366,0.688916,0.053637
9,0.940695,0.002222,0.864021,0.005192,0.004861,0.002938
10,0.586338,0.028181,0.982601,0.004806,0.695940,0.046559
11,0.939286,0.004320,0.860335,0.010938,0.004674,0.001580
12,0.577764,0.030768,0.976467,0.006936,0.707088,0.047905
13,0.940276,0.001672,0.861097,0.005569,0.003463,0.000869
14,0.580511,0.028935,0.983975,0.003081,0.706419,0.047426
15,0.934807,0.012254,0.848938,0.029860,0.004134,0.001721
16,0.579454,0.027284,0.982405,0.001735,0.707764,0.045768
17,0.942032,0.001745,0.864546,0.005372,0.002828,0.001285
18,0.577862,0.028116,0.980401,0.006679,0.707986,0.043675
19,0.942178,0.000908,0.864950,0.003526,0.002889,0.001022
20,0.578086,0.028584,0.984469,0.003086,0.710752,0.046701
