round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.951359,0.007676,0.891413,0.016964,0.001143,0.001369,0.086020,0.038154
2,0.955093,0.002898,0.910809,0.008814,0.008525,0.001485,0.083022,0.037321
3,0.954230,0.003413,0.910493,0.008515,0.009227,0.002209,0.082637,0.037090
4,0.952279,0.004470,0.912152,0.009671,0.012296,0.002199,0.082566,0.037121
5,0.954051,0.003868,0.912722,0.009529,0.011354,0.002428,0.082235,0.037596
6,0.950794,0.005769,0.915754,0.011428,0.016609,0.005230,0.081918,0.037328
7,0.953063,0.003357,0.912347,0.008776,0.011962,0.000388,0.082291,0.036930
8,0.950930,0.005288,0.912890,0.009383,0.014678,0.003080,0.081577,0.037319
9,0.953382,0.003715,0.912777,0.008663,0.012082,0.001182,0.082131,0.037652
10,0.944981,0.003774,0.914164,0.012782,0.020074,0.006178,0.066528,0.036729
11,0.950396,0.000884,0.913497,0.011113,0.013731,0.001266,0.066746,0.036595
12,0.948946,0.002689,0.909837,0.013408,0.011871,0.000042,0.067807,0.037181
13,0.947748,0.000415,0.914548,0.010554,0.017509,0.000480,0.066785,0.037384
14,0.952159,0.002976,0.913187,0.008941,0.011916,0.004503,0.066540,0.037228
15,0.952825,0.002502,0.912904,0.010491,0.010591,0.002866,0.066564,0.036548
16,0.949972,0.001044,0.913068,0.012007,0.013812,0.000330,0.066812,0.036314
17,0.946763,0.001381,0.913898,0.013233,0.017770,0.003886,0.067016,0.036340
18,0.953340,0.002388,0.912973,0.010134,0.010494,0.002850,0.066618,0.036973
19,0.949069,0.001244,0.914000,0.012539,0.015836,0.003345,0.068839,0.034911
20,0.950874,0.002265,0.913774,0.008585,0.013690,0.003722,0.067391,0.036443
