round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.970888,0.012457,0.878334,0.019495,0.002289,0.000336
2,0.950185,0.042032,0.919967,0.024673,0.081704,0.111744
3,0.968985,0.000538,0.906926,0.010748,0.064234,0.087347
4,0.960233,0.021582,0.898059,0.010061,0.000756,0.000471
5,0.959728,0.004330,0.901202,0.002904,0.002015,0.001181
6,0.969798,0.008816,0.929242,0.036744,0.004001,0.004281
7,0.922821,0.047308,0.900726,0.044798,0.087650,0.095908
8,0.970520,0.017138,0.920536,0.020710,0.040275,0.048656
9,0.948829,0.031032,0.893773,0.026103,0.006578,0.006146
10,0.963477,0.025467,0.925378,0.005547,0.001703,0.001510
11,0.941711,0.025442,0.913854,0.029833,0.005099,0.002513
12,0.950634,0.027602,0.917769,0.010245,0.009458,0.009758
13,0.967792,0.009584,0.917959,0.010891,0.002381,0.000924
14,0.977176,0.013870,0.922215,0.015151,0.001843,0.000978
15,0.985528,0.005619,0.933338,0.005769,0.001139,0.000145
16,0.950660,0.039883,0.900900,0.029958,0.002346,0.001512
17,0.960901,0.027902,0.909885,0.019455,0.002067,0.000759
18,0.965150,0.009369,0.935574,0.016380,0.118713,0.160544
19,0.966322,0.018489,0.929872,0.003359,0.112613,0.156644
20,0.945448,0.030901,0.913492,0.034386,0.008671,0.009196
