round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.934935,0.004048,0.886648,0.012298,0.000172,0.000080,0.042353,0.008371
2,0.945207,0.005738,0.902541,0.008575,0.000081,0.000076,0.037605,0.007136
3,0.948983,0.004128,0.908851,0.013453,0.000120,0.000044,0.036987,0.006563
4,0.949129,0.005293,0.903348,0.027927,0.000133,0.000080,0.036462,0.006444
5,0.953139,0.002125,0.915979,0.013124,0.000170,0.000006,0.036548,0.006501
6,0.953027,0.003146,0.918090,0.015982,0.001801,0.002269,0.035988,0.006551
7,0.953863,0.001553,0.916635,0.014363,0.000165,0.000151,0.035817,0.006354
8,0.953887,0.001932,0.917109,0.013501,0.000432,0.000485,0.036107,0.006273
9,0.955491,0.001549,0.919234,0.011678,0.000193,0.000104,0.036008,0.006199
10,0.954048,0.002278,0.918155,0.009523,0.001016,0.001177,0.036163,0.006059
11,0.954844,0.001821,0.918321,0.012734,0.000089,0.000040,0.036159,0.006593
12,0.954570,0.002225,0.918073,0.011919,0.000097,0.000041,0.036584,0.005415
13,0.956159,0.001165,0.921301,0.013079,0.000228,0.000058,0.036549,0.005775
14,0.954300,0.001769,0.917651,0.009927,0.000140,0.000025,0.036181,0.005397
15,0.954807,0.002900,0.918590,0.011562,0.000174,0.000122,0.036888,0.006246
16,0.954759,0.002637,0.918875,0.013389,0.000775,0.000862,0.036635,0.005783
17,0.954476,0.003546,0.918031,0.012425,0.000092,0.000062,0.036526,0.005932
18,0.954288,0.002909,0.917537,0.011773,0.000076,0.000047,0.036841,0.005924
19,0.954604,0.002789,0.918036,0.012362,0.000088,0.000036,0.037068,0.006259
20,0.955266,0.002230,0.919406,0.013946,0.000124,0.000061,0.036868,0.005640
