round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.942979,0.000332,0.870142,0.002160,0.005307,0.001963
2,0.443890,0.002386,0.993521,0.004749,0.946977,0.001682
3,0.791119,0.094954,0.502834,0.225254,0.004121,0.003273
4,0.609862,0.236147,0.952310,0.052770,0.634179,0.441769
5,0.720039,0.198965,0.749712,0.157013,0.301457,0.423848
6,0.604554,0.229269,0.941637,0.067912,0.634677,0.440264
7,0.694038,0.221149,0.678655,0.125956,0.294918,0.414893
8,0.602009,0.225849,0.939144,0.071001,0.637364,0.436483
9,0.658628,0.264208,0.599448,0.129557,0.299087,0.420808
10,0.602454,0.224729,0.937274,0.073118,0.636313,0.436838
11,0.632757,0.242824,0.534297,0.105235,0.297156,0.418233
12,0.595012,0.214976,0.920076,0.098420,0.636521,0.438026
13,0.663819,0.238652,0.612059,0.154801,0.299545,0.421482
14,0.597350,0.219980,0.926927,0.088060,0.637351,0.439289
15,0.684967,0.212600,0.657892,0.184124,0.296373,0.416932
16,0.600753,0.224716,0.933808,0.078004,0.636158,0.439932
17,0.708153,0.228799,0.717456,0.083154,0.297929,0.419594
18,0.594975,0.218101,0.920320,0.097415,0.635794,0.441947
19,0.725698,0.236841,0.760057,0.056936,0.299264,0.421148
20,0.595949,0.218460,0.927804,0.086053,0.640176,0.434803
