round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.840931,0.015404,0.673953,0.060304,0.009785,0.005236,0.113667,0.028487
2,0.864386,0.023791,0.781555,0.063840,0.030174,0.026442,0.099553,0.021671
3,0.894503,0.018914,0.852356,0.032681,0.034476,0.026910,0.087991,0.017047
4,0.912604,0.008097,0.871042,0.003393,0.021783,0.012561,0.081132,0.016290
5,0.912741,0.008789,0.865167,0.017484,0.016929,0.004712,0.077519,0.015882
6,0.906252,0.014580,0.891114,0.021521,0.049595,0.043140,0.075162,0.015232
7,0.871872,0.062476,0.895940,0.029366,0.109345,0.120919,0.072922,0.014623
8,0.925058,0.008045,0.889188,0.016509,0.015834,0.001580,0.071079,0.014192
9,0.864203,0.063798,0.904654,0.027504,0.120599,0.115245,0.069620,0.013942
10,0.872002,0.065991,0.905523,0.022723,0.111824,0.116027,0.068142,0.013810
11,0.901384,0.028394,0.897203,0.025992,0.060426,0.063507,0.066868,0.013561
12,0.844784,0.058237,0.910523,0.034250,0.150374,0.102590,0.065893,0.013470
13,0.857389,0.090164,0.910452,0.028808,0.140382,0.159361,0.065042,0.013479
14,0.866245,0.069455,0.914272,0.027489,0.127663,0.124829,0.064156,0.013326
15,0.924280,0.004984,0.905082,0.022572,0.034009,0.016755,0.063345,0.013182
16,0.928205,0.009915,0.900737,0.024045,0.023019,0.014896,0.062772,0.013206
17,0.924696,0.003522,0.907325,0.022733,0.035422,0.013261,0.062311,0.013315
18,0.916840,0.003237,0.906891,0.027261,0.045349,0.022934,0.061471,0.013112
19,0.897736,0.016550,0.914864,0.025739,0.076600,0.040500,0.061044,0.013156
20,0.918046,0.008370,0.906988,0.028093,0.044765,0.026705,0.060352,0.013097
