round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.957545,0.001492,0.898186,0.003791,0.000239,0.000140,0.142686,0.003253
2,0.960131,0.000636,0.904758,0.001710,0.000489,0.000256,0.134012,0.000354
3,0.960811,0.000759,0.907149,0.002574,0.001024,0.000799,0.131569,0.000668
4,0.961288,0.000591,0.908911,0.002470,0.001461,0.001041,0.131242,0.000964
5,0.961862,0.000311,0.910848,0.000657,0.001856,0.000868,0.129978,0.000937
6,0.961932,0.000618,0.912404,0.001674,0.002845,0.000979,0.130299,0.001060
7,0.961595,0.000330,0.911088,0.002101,0.002486,0.001896,0.129319,0.000630
8,0.962227,0.000625,0.912477,0.001773,0.002392,0.000456,0.130108,0.000985
9,0.962263,0.000535,0.913128,0.001253,0.002793,0.000326,0.129512,0.001598
10,0.962203,0.000623,0.913310,0.002122,0.003027,0.000985,0.129414,0.001282
11,0.962105,0.000601,0.913749,0.001289,0.003505,0.000778,0.131026,0.001632
12,0.962087,0.000495,0.913215,0.001635,0.003157,0.000815,0.129935,0.001491
13,0.962273,0.000677,0.913427,0.002364,0.002990,0.000770,0.130297,0.000518
14,0.962327,0.000536,0.912653,0.001436,0.002345,0.000480,0.130208,0.000471
15,0.962257,0.000585,0.913807,0.001945,0.003287,0.000687,0.129559,0.001664
16,0.962242,0.000648,0.912879,0.001800,0.002652,0.001111,0.129609,0.000645
17,0.962051,0.000448,0.912491,0.001134,0.002704,0.001300,0.130581,0.000531
18,0.962239,0.000573,0.912872,0.001751,0.002652,0.000467,0.131550,0.001895
19,0.962282,0.000654,0.913800,0.002371,0.003240,0.000919,0.130603,0.001075
20,0.962023,0.000449,0.911681,0.002063,0.002174,0.001508,0.131854,0.001298
