round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.925906,0.048938,0.891604,0.024605,0.006903,0.003999
2,0.952013,0.024990,0.902787,0.019984,0.007357,0.008877
3,0.953342,0.013796,0.914593,0.019809,0.002271,0.001540
4,0.941676,0.031167,0.915752,0.019944,0.001521,0.000446
5,0.948681,0.049386,0.902947,0.041240,0.003905,0.002594
6,0.962186,0.011121,0.914535,0.014879,0.002109,0.000774
7,0.950380,0.019233,0.930849,0.010694,0.002105,0.000417
8,0.967143,0.006497,0.918699,0.014359,0.000825,0.000467
9,0.957246,0.010708,0.921627,0.012733,0.000527,0.000376
10,0.947458,0.031669,0.914817,0.011505,0.000824,0.000846
11,0.978654,0.006369,0.937630,0.007993,0.003070,0.001740
12,0.975273,0.008932,0.936262,0.001805,0.001644,0.001261
13,0.947579,0.011411,0.915497,0.012822,0.001365,0.000915
14,0.961852,0.017222,0.920900,0.012611,0.001642,0.000796
15,0.963021,0.024149,0.932393,0.009263,0.001156,0.000559
16,0.974797,0.015533,0.929968,0.007192,0.001101,0.000451
17,0.973268,0.010065,0.946683,0.002531,0.001724,0.000047
18,0.958855,0.013563,0.926479,0.010152,0.005567,0.004429
19,0.945863,0.010676,0.912821,0.009210,0.002940,0.001417
20,0.966934,0.019843,0.925222,0.010153,0.002056,0.000935
