round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.956852,0.000572,0.905876,0.000236,0.006894,0.000962
2,0.957928,0.000346,0.907873,0.000664,0.006472,0.000421
3,0.958429,0.000270,0.909472,0.001195,0.006754,0.001213
4,0.959037,0.000297,0.910809,0.000945,0.006666,0.001178
5,0.959331,0.000307,0.911628,0.001129,0.006743,0.001316
6,0.959541,0.000313,0.912176,0.001168,0.006775,0.001326
7,0.959681,0.000314,0.912242,0.001145,0.006582,0.001242
8,0.959936,0.000381,0.913076,0.000874,0.006738,0.001199
9,0.960121,0.000268,0.912074,0.000296,0.005708,0.000542
10,0.960295,0.000390,0.912775,0.000795,0.005912,0.000530
11,0.960453,0.000345,0.913155,0.000702,0.005912,0.000530
12,0.960690,0.000477,0.913740,0.000950,0.005922,0.000446
13,0.960766,0.000475,0.914874,0.001507,0.006598,0.001374
14,0.960875,0.000572,0.915151,0.001479,0.006608,0.001377
15,0.961221,0.000409,0.914764,0.000798,0.005740,0.000691
16,0.961279,0.000432,0.915107,0.000981,0.005886,0.000626
17,0.961294,0.000417,0.915173,0.000902,0.005906,0.000720
18,0.961361,0.000329,0.915611,0.001063,0.006104,0.000628
19,0.961449,0.000359,0.915589,0.001015,0.005938,0.000554
20,0.961559,0.000457,0.915575,0.001031,0.005740,0.000640
