round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.957773,0.001379,0.898713,0.003522,0.000223,0.000151,0.141384,0.000638
2,0.960191,0.000630,0.905014,0.001546,0.000567,0.000020,0.134007,0.000676
3,0.960969,0.000564,0.907514,0.001761,0.001014,0.000431,0.131786,0.000849
4,0.961832,0.000209,0.910306,0.000568,0.001524,0.000411,0.130445,0.000804
5,0.961867,0.000561,0.910034,0.001562,0.001271,0.000149,0.130429,0.000400
6,0.962127,0.000638,0.912402,0.001890,0.002512,0.000250,0.130846,0.000401
7,0.962195,0.000579,0.911603,0.002033,0.001825,0.000453,0.130591,0.000161
8,0.962177,0.000643,0.911679,0.002197,0.001911,0.000461,0.130455,0.001271
9,0.962245,0.000383,0.912951,0.000070,0.002699,0.000608,0.129631,0.000158
10,0.962377,0.000424,0.912698,0.001155,0.002294,0.000094,0.130315,0.000082
11,0.962355,0.000629,0.912435,0.001747,0.002145,0.000164,0.131115,0.000458
12,0.962519,0.000629,0.913061,0.002284,0.002309,0.000547,0.129410,0.000515
13,0.962478,0.000688,0.912851,0.002493,0.002231,0.000593,0.131371,0.001488
14,0.962400,0.000538,0.912995,0.001188,0.002465,0.000078,0.130206,0.001734
15,0.962373,0.000675,0.912523,0.002120,0.002177,0.000351,0.129629,0.000328
16,0.962418,0.000693,0.911613,0.002460,0.001451,0.000562,0.130406,0.000026
17,0.962473,0.000738,0.912446,0.003293,0.001950,0.001077,0.129740,0.000675
18,0.962191,0.000912,0.910660,0.002976,0.001162,0.000554,0.132277,0.000911
19,0.962578,0.000652,0.913400,0.002295,0.002449,0.000515,0.131822,0.000160
20,0.962345,0.000811,0.911723,0.002722,0.001654,0.000546,0.131832,0.000737
