round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.967715,0.012793,0.894606,0.018060,0.003734,0.002076
2,0.862302,0.062497,0.852137,0.061347,0.097136,0.129801
3,0.972312,0.009196,0.917119,0.027623,0.007912,0.009793
4,0.801658,0.089123,0.902799,0.030725,0.251444,0.175073
5,0.930877,0.035188,0.880593,0.050891,0.003073,0.001805
6,0.858538,0.077281,0.921464,0.041974,0.138516,0.101837
7,0.914297,0.049792,0.882788,0.038485,0.005844,0.004260
8,0.828924,0.052775,0.946682,0.020155,0.215218,0.050835
9,0.973704,0.010045,0.909813,0.043049,0.001041,0.000638
10,0.825653,0.038589,0.936613,0.002562,0.251946,0.052324
11,0.962420,0.015803,0.891364,0.063780,0.001741,0.001379
12,0.779060,0.046475,0.945704,0.035402,0.305272,0.015514
13,0.918581,0.062377,0.859619,0.096744,0.000795,0.000473
14,0.889201,0.045395,0.940366,0.004756,0.166765,0.111960
15,0.930581,0.019697,0.892649,0.039619,0.000823,0.000260
16,0.823278,0.090122,0.959438,0.017620,0.229124,0.137565
17,0.944118,0.020990,0.888318,0.060358,0.001964,0.001855
18,0.816367,0.106785,0.964268,0.016375,0.200195,0.124175
19,0.926095,0.014578,0.876582,0.028064,0.003234,0.000645
20,0.797826,0.109960,0.956666,0.017395,0.244069,0.163386
