round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9083002883922133,0.6753287352343217,0.0046650896692381,0.2921618661872225
2,0.9128345800288392,0.6820171915847769,0.0009362427750134589,0.27016031767143284
3,0.913299274513338,0.682856073228676,0.0006111587541859533,0.26373425547281826
4,0.9143328677000722,0.6863854673735935,0.0005106358452549837,0.2614021727939072
5,0.9141244592645998,0.6853079954601856,0.00039459447570671004,0.2601223210344127
6,0.9142793574260994,0.6860843207694264,0.00047194150172889777,0.25914772853692397
7,0.9150116032804614,0.6887867390720069,0.0004758151001599752,0.25849882109651695
8,0.9149918889689979,0.6886311940967709,0.000444863194897184,0.25813199465401254
9,0.9150651135544341,0.6892111701760056,0.0005609665594731073,0.25790406287158957
10,0.9142793574260994,0.6858148812853649,0.0003713715406913765,0.25763043139438585
11,0.9151946647440519,0.68978113337317,0.0005957498803125059,0.25748312694045583
12,0.9148482561283344,0.6880415535720767,0.00042164812070946803,0.25727393776206897
13,0.9150228686012978,0.6886314493218706,0.0004023195640927879,0.2571545207723502
14,0.91523127703677,0.6895219749083394,0.0004487371122181555,0.25709466292973904
15,0.9147778478731073,0.687657590225504,0.000375256108198392,0.2568319828547645
16,0.9150791952054794,0.6888277788312996,0.00039845305660535105,0.2567807510937262
17,0.9147750315428983,0.6876267094045978,0.00036751401269208983,0.2567395740031452
18,0.9150904605263159,0.6889207404029103,0.0004177975426407407,0.25659150652739837
19,0.9150425829127614,0.6887758169940446,0.0004294057742883597,0.25643583547053506
20,0.9151608687815429,0.6891796681428801,0.0004178023280600887,0.25642959895360273
