round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.8223212299234817,0.34482732993664944,6.348046642537874e-06,0.12714142828981295
2,0.8756727376161361,0.5566478577327327,0.001125917464532829,0.14177966549564008
3,0.8925225090754452,0.714614291623455,0.009381789112655138,0.0730841726814395
4,0.4831319227552178,0.9999873829289254,0.6855870812224223,0.1322181219457193
5,0.8755995144742438,0.6419269455996062,2.483478952698044e-05,0.02835745443707885
6,0.8826486500187282,0.6736027586014803,0.003463250817559228,0.0566714976926608
7,0.8856451662869389,0.6754305975435321,0.00010710738014184487,0.04578577494752989
8,0.8818094001616542,0.8124767202185293,0.07426990585689065,0.20717016999061827
9,0.9118393371615894,0.7530298449009605,0.0010651476400689213,0.221059928037329
10,0.6070254788371039,0.9956871449057236,0.5215432775669046,0.2662853779020211
11,0.5050538049279174,1.0,0.6540078577271289,0.1032852722649302
12,0.9090089810999805,0.7437819871534834,0.00023407831852026792,0.112630813595582
13,0.8875489679761405,0.69096374467395,0.0036732057154120054,0.04115612625271835
14,0.47921448466397615,0.9999886582737796,0.6912121953181458,0.2307752823574893
15,0.888596622160139,0.7979763134822526,0.05253264870129963,0.19941757339460753
16,0.516915953914481,1.0,0.6392659208983569,0.12284025032909203
17,0.9099101890001943,0.7499442692739433,0.0009535280291309578,0.1425909928968715
18,0.9096454591795066,0.7491935493079056,0.0003530856684379565,0.1012925579943123
19,0.9009093750968095,0.7317146906863167,0.003484794351360985,0.07969388792654514
20,0.8929308689052295,0.7071936918302266,0.0034570285322421805,0.03923235788846707
