mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24.608598709106445,6.383691836303241,0.8347360293070475,0.2295479445075297,0.01,6,100,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.9078980570275044,0.903791368594315,0.9031701979841211,0.904953207868647,0.002097707583380828,18
71.8959047794342,24.608785091238573,2.217640479405721,0.5583832444886153,0.01,6,300,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300}",0.9381080773791154,0.9379908549708837,0.9385200996664259,0.938206344005475,0.00022696142745990433,1
125.41363000869751,26.59847964766199,4.311009565989177,0.999037083117676,0.01,6,500,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9380022402961087,0.9380195325983228,0.9373048107574556,0.9377755278839625,0.0003329221288520168,2
33.43951884905497,6.982968110867036,1.6822887261708577,0.31081074174995704,0.01,9,100,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.9084367208611397,0.9059863324387428,0.9049638664893637,0.9064623065964154,0.001457187455561808,16
91.3303934733073,18.830151227941833,4.400899887084961,0.7974483989192597,0.01,9,300,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300}",0.90831987527833,0.9061547316239951,0.9049496958049597,0.9064747675690948,0.0013943564047733546,15
104.35846400260925,1.0518999485815677,5.1663890679677325,0.06643034643062644,0.01,9,500,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9096410582882394,0.9069352162558314,0.9053366746244754,0.9073043163895154,0.0017765333025743636,13
34.2071103254954,6.642597166384854,1.9856491088867188,0.3630098310550213,0.01,12,100,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 100}",0.9105435268234261,0.9077830549451369,0.9074455907740148,0.9085907241808592,0.0013876957248882835,11
80.95486656824748,18.25798591340251,5.057908137639363,1.2338367835747177,0.01,12,300,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 300}",0.9114212710872617,0.9088562997206109,0.907755991773326,0.9093445208603995,0.0015356514412008958,10
127.46046940485637,23.544244524870866,8.189067761103312,0.6379110132591602,0.01,12,500,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500}",0.9116530593799897,0.9094205748922031,0.9080983731513933,0.9097240024745287,0.001466969613234552,9
20.68434413274129,5.755498278502119,0.8790129025777181,0.23202655955298845,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9091439252336448,0.9053937848416558,0.9068208729585415,0.9071195276779473,0.0015454846534285007,14
78.22764770189922,0.43889479293592476,3.0086816946665444,0.039776962888231,0.1,6,300,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300}",0.9130561407622859,0.9107177767418079,0.9101141324357019,0.9112960166465985,0.0012687590496338371,6
91.79287751515706,21.952584393487353,2.703251282374064,0.007434126464872374,0.1,6,500,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9149259356548156,0.9130262007576762,0.9111451969714671,0.9130324444613196,0.001543486418430327,4
21.10773801803589,0.31381564167503195,1.1958483060201008,0.00869592263480218,0.1,9,100,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9096878533082757,0.9067783372879212,0.9081516014075353,0.9082059306679108,0.0011884260233812275,12
74.47056293487549,11.839399065299355,4.34413727124532,0.3938650899789714,0.1,9,300,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.915405905819924,0.9134151804356574,0.9118629829069209,0.9135613563875008,0.0014500807445434476,3
109.42759807904561,6.696469008941031,5.918185869852702,0.6559341289042308,0.1,9,500,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9131791441204898,0.9118257379468367,0.9092567534459819,0.9114205451711029,0.0016267396923492802,5
27.58449689547221,6.187932720601389,1.8572014172871907,0.32990458718678506,0.1,12,100,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",0.9128215204749075,0.9103314572547133,0.9086319851621395,0.9105949876305868,0.0017204917375542221,7
74.06771755218506,1.8546330304546388,5.280206839243571,0.2648586838343698,0.1,12,300,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 300}",0.9116455955638718,0.9098130205420439,0.9082047055015451,0.9098877738691536,0.0014057316363588475,8
95.59673754374187,3.521423888150675,7.418740113576253,0.12996928763104165,0.1,12,500,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.9070750770668616,0.9053558823087667,0.9035600881616795,0.9053303491791026,0.0014351017864995114,17
